No,name,device_id,push_type,categories,dnd_time
1,류유기,qkC5nbUj2UZ:APA91bI0PJrwzhKxNNFhlkNDc6FfwesfSMTNcGk1aM1iC6uFBIIQCh8moR3BgqmjsYNW_jxIl-2UpBwq_1GGp86YraIGd_avJXREspOzj-HLPoS4VYnDK4QY75cfKtDGVnSKm3y3vK-S,FCM,"정치,북한,경제,산업,사회",23:00-11:00
2,문다환,gM6SdtAYYwN:APA91bb5Bpacgjl9LOUEHeWiiGaeBQHiarxB9R9qq1P3iIGRwghrUZy2fpGW_atPRVNuK7ckN_t-k6MEUH34Dy3jE2F5cxxNp6IpJsOw5HlFnBvoJTxh1YECf5wpac577jcOlBNVIDrg,FCM,"북한,경제,산업,사회",23:30-04:00
3,곽마서,df672b1f45bb96e4db70bef7e2d35335b623e48fa1913b95bb3eb96fbd416b7e,APNs,"정치,북한,경제,산업,사회",-
4,양다훈,Sm9ozPqysbI:APA91b_wjgG-hYFkGEMyI-Av7Wxgs5_9CJK3SXnJZtV3ECyCGvzqdzMBikU-xhsD-MlbDQhetahbggmd9_58IIvt7J__CeNwS_7oyUXdQDsZr_S3yi682suHcPy1UWn3OQOxL_QRXZJI,FCM,"북한,경제,산업,사회",-
5,송승성,nGw1YUhIklV:APA91bY6BkY3JfT3erkXdl7A4QOqaIUZltMyExJK2cizkTbnQsDwQS2Az8Bfk2DJh-JAX9PdHVCjqKO7aHfWWCnZh9y4Av3StRqw779fxa4xovYLC1yacCf07Ui2Pu20F7HBZpeeB5nA,FCM,산업,-
6,서지준,d130339eb0558ccf92ab8551bd2f9b5bb531a38d1df0aacac06e9f7039d614ca,APNs,"정치,북한,경제,산업",-
7,배다윤,SgULIaMgVam:APA91bzizPZnupOm9ikyg9IbNJ4Y6PfwZed00xghyQ_QzPYGCsD5Bwd1xc1u2L6BMkita4zZVu9efrfj8pOMLbMfWRioPyq_5T7nyfKe27OJ4dcH_fIdl74EX2d7Dleo7KQ06VZfKU1T,FCM,"정치,경제,사회",05:00-02:30
8,문나철,7e0c37c286df620aa150bffd2aa7e580a1ef5cb69fdf4969fc920a410d0d1392,APNs,"북한,산업,사회",19:00-06:00
9,하유우,ROeiNxabWre:APA91buMkON_FvHb8DOsyj4Kk3pyNLr_6sO-y0epPPFKCEt8U8w6bf5_5DvM25dHd0bz6ke3Kkqw74C5mUqAI6h-0N-u9vsHy5s-n52TQ0Q6clV_jcogs6-EdUYXOyoPhp8Qef3TBe14,FCM,"정치,북한,경제,산업,사회",01:00-06:00
10,성재아,8e74a0bc0e50832ede3fe053a589ad18f59abf64c6c45ca232472b751109c709,APNs,"정치,북한,사회",-
11,홍지환,cAMe70ob2Kt:APA91bhbBmHnzx1KT6ghTpIWHOyn5aGK3Op2IuC4ug5akdDbXwTg3v1cORRHkv8IrDPK6_dvnlRtfyyYbfgO_RXQ_vJSEzikT49_HYS4b4nK8TDrhaDUgrbTb55lp_1Rz19apvq4nhn4,FCM,산업,02:30-09:00
12,주준호,zexnCve0hh8:APA91bWkGu07ofRzEikLC_XNiGvoGi_IH3SckFX2b2_3WMw-eB2R4-Se3iQ-_Y3JwoV4-Zuejgsgcu0bZUXS_I7wSXHCyx45lPpUFQSz-ahjZyo_2ZwS0w3hubg_QkQ8qQzHt9ByfIup,FCM,"정치,북한,산업,사회",16:30-23:30
13,우재현,80bf4e9293b42cbb840535ad55e07d0e8b23ca8c2ffc9052012ed367a293977b,APNs,북한,16:00-05:00
14,오광원,Ea6c5i8nmpW:APA91bDRSzE_BRsvZNN2tJX9RiMQHoIvYdcc1a3yNCnsopP2s5r1I8HwccbmcnCUo6TKub8l0gu9Px_5R2tfXAXgrIa5d3FH8Lh6cQiVeUre4_RztAAp8jtDz7X4SiRyNMn0ZHfOssqk,FCM,"북한,경제",16:00-05:00
15,한영수,uxrLvV1ocV5:APA91b6ilS0M-HhyvFOYjHrrqn9J8pFX8fF2Sx4w0Pqi0jiR01Bh4apnP_HY4_6cDxrcC0axj2lC1dWXQlo0PpzZOI6INZAJdStmps581G15lcFpeQEKm1kF2fedChlzyeiJHdqslZWC,FCM,"정치,북한,경제,산업,사회",23:00-16:30
16,손현범,xEQJZy3Doyy:APA91bqd8MJTXbHZ361dqe6UWz4S3J9nBu-oLlSrdiH8vyDpzs3dNZG618H6zvfiC-h7zvOK8I5XJ8sSnLORdFAPh-WY6ecn4RAc2M1_sULczHvU4pVyyusdacR2bKUWeZez0jd52Ewd,FCM,북한,-
17,고나슬,K9L75hRnY01:APA91bZ9EDKhj69Gk6H5k013-aSw84vP_lE-QdPMZgITvn7DKFL5O9Ol7uZqXjhO1kZTEirpCi4MqWaRhLQDr5IyXU945ROO438X6PmLIHJbri8k_n5mNMc9hbo5L6DhKjXAz8mXcv1N,FCM,"경제,산업,사회",-
18,문도경,ce06d9086a2d64c2b0c75017b7a8e6f8cab08f44d1f9ed4e6a0935e44c43686f,APNs,"정치,북한",15:00-20:30
19,전우범,qFcsMrf6dWS:APA91bz1KnBgizqnC_fcwqzB7Nmuwwerj6xEfHXRRNJ9ou-vfRoyK4MgoTwjlMDq_SVlySPArMWuiyeudxh1PrCs78t25GPBA5f4U0fzj5pSsdDcxo3THtZ6hKiCeSxHKnQgZYZUKXaE,FCM,"북한,산업,사회",-
20,강도람,8rNMc1bmuSs:APA91bH1XjQBVlfnnOcfCd_OrxF9Ln_J7O-s6UGZN0fumBrrTfU9GQb2K-FuH-PqdI9KIuYUv4hQs51GmXujYFk24SZvHi5FFlumsRa9QsEBYtwI7ekSKtVxm2BqpggyyUvVc9_jHMAT,FCM,"정치,북한,경제,산업",03:00-21:30
21,노태호,o77IFm1IekP:APA91bVuVMbDoy2YozJm3n0lUZv0XLQ6HYkYPdARXqC-fREnBGn1WoZhC67Udzm96kX0fyoOZF42kKLCHaeG_J7-Y8TC3qSHAMfqQh7IB2-2vazmFrCBjWBAUmKVuPIN5wAIks3vJGAK,FCM,사회,06:00-15:30
22,노하찬,l7jiT6xBEJk:APA91b58kqRp7uUKXsDodqERWPnqR_jo1TOgjSvzxBmhDVPgIdC3XyIwbX7ak4Jj5PwCl8n1zvI1izpiCQv1G2dS93mPtO96JHfDdpk-lJCF6NMKWJmmUDY-FXse_I1MFhirIZ4WWvLQ,FCM,"정치,북한,경제,산업",13:00-07:00
23,서다희,DgvDWkHV1zA:APA91bw6f_qCcPrWWCPKglhp4wk7ZFiy-f64Gm1IoykoTPqWPJPDCTwYn11GBfe28mdS1QIOVIT-7s7W5SQ0Ely7iWu7Ml1A3_tvloVw9AIUQ13mxpB7zj7e_mldPZnAsbj6Y66EI1t0,FCM,사회,01:30-15:30
24,박유성,5b617614df41a4bb4d273fc232b0d7578c59cd258279ddf43c22841928722428,APNs,"정치,북한,경제,산업,사회",13:00-18:30
25,송태아,HgxD5brIbQ4:APA91b3umI-HGpiLkkY_cWImGqk-08CfixBojhTsCmlR7Ik_sivfE1VJCSN1ArR74zgj0JTSzfWsiboiMF-E7yW8pli9YZy7EWj4XDJAtyNWVN39V1EVao_bNuJbnOj7NvOTnys3apl_,FCM,"정치,산업",08:00-00:30
26,고호준,a7d5f388d4408c6a206da254f303ca96681dfb1ee9234e3a7fc6f54c9520c2f6,APNs,"북한,경제,산업",12:30-16:30
27,오건준,wbXtrDheRFV:APA91bT7V1xJAtVnk7bUkPlUZCpAQhtippVuK_MxjH6W6TuSaIXwuV5BGALKw-obwsdBGfGz5WISu4KnRovE7RL_ZKdrRUr2kKtj4Ol9bkqR3Es3Le-PVeiSzl-tAdLlrc3VyD45kY7C,FCM,"정치,북한,경제,산업,사회",17:00-18:00
28,조승범,DWyYOlQlJ6h:APA91bnXeN-EfnAONzsMZXrtEixZGa2cdkmOx9xtaUfIGUsJP4sFEYPPbkbq1T_NF30zY_bjCHydRipbtMycV8bkWxlcNVIJ8ELsepS-f22PNwKaKKOgClsAJ-AgRcqMDdqLzgauBs25,FCM,북한,04:00-20:00
29,고시환,uJagsmqK5Cy:APA91bGoIQ96V6p5bMmskJkziOW3WhyE_T5micvLslrXZuRKuDN5crZh9Cv3wkUl4HUviI0R8TJrLXP2lBHyhgLlt3IQA3D-JmTKBjGhJYVJyfWigalcM5i52d6HgNWjXRed_GfPSMD5,FCM,"경제,산업",16:00-00:00
30,한가성,76229b76031383ee32d95343da52c7d4dd2a7393fdd357151a4691dbfe8ab62d,APNs,"정치,북한,경제,산업,사회",22:30-06:00
31,남가희,A8rhm6g0MaY:APA91bKUN13Lty-Q3iQWJLiwYI2qp3F6k_UUpGr7vlnfgdWwC88POWYok-ddCir4pGn9Cjm8Y_WA-02nQ-L9EycVa130ungHPEVEls5U4dyD4NQ-mKM3LdOymg4E9yBczZegY5lTOakT,FCM,정치,-
32,성태슬,wuezl5z5UPd:APA91bDcdPKFI5NpTHWte7_QdFv88miNZDJxPfsUckeLVrzMxLrimFC22-TudkhZmqnjrasPGhCrw-WCdbuhfKesogNMXQJh7fSHavmfnmargmfiqvOFYKzuwh2yH-hxiG41S2SWRjPO,FCM,정치,22:00-07:30
33,우태훈,QTmmkI0YQTr:APA91bNxnDYyNLZWAz-TiM5rwMUlpVUyOvAsDa9OX3S0OF3QHxVo7le01BbO2WKSMDPpKTgfe92rOpk55d1syJqTGKUWps44IUbpaiXoYTWS1HUK2bl80vsoVshpuURc2kJhAGePz0Se,FCM,북한,02:30-18:30
34,문하빈,Ux9emSh41YW:APA91bIfLsNg5YS3pBX06HT2EgUca7BYJC7gnCNDYNWUZEEhQ48NSLX5KFVVNB3dYdYdfjROsXXQOGAZ14Hi_KzxVgIO_qUWqnb21spOhhf9WDOJvZhzkKh12GkNn3kM0scXwgLxUIcP,FCM,"북한,산업",-
35,송준서,PVrMMkwG1rs:APA91bq8qyocyf9FkVI_I_pk8L9xa2C2MkBvBY5WZE_-ntW3YCrHDE2HMlHnBBycRXVj8Fh-sLXXRj1zsiy7RW-fv07_VqGxQxAwM1eN0WtiEeZnp_gmOXB3jl7dgErDn9p6HW8_sNe7,FCM,"정치,북한,경제,산업,사회",-
36,강태아,jAD4cmCHOow:APA91bvJY-87cywxV4pcT5QVOUCjFxROIAATxvx30By_N9wRuCMIxEeTxkLwXHEGMAzvYNdyz6WVPjndQs0Ms-YvUvjoCjI_07a80D7d3_XIUMUQQ7LQ_lu3J2qEgjZ-KFnotC0qn9QO,FCM,"경제,산업",16:30-09:30
37,정호슬,i3RwocUb8dE:APA91bMQEKphC-6go7mautCBdbLID6ETJui0XUbsl8z4PP5ZxHh2cqv36rBoU8_ivph_DOpdoos4saUKMR0vgyH9dYY5q4C-k8oWFq0SzRCC9Pz53ZXLOresMOJpteoV9nmOTXXKtt9-,FCM,경제,15:30-01:00
38,안가찬,wmUfQrPbuBf:APA91bbu0IFv0BhemtvQu60nOexdwiqHSU2R1oW6MRq7jEo3nlhU6r1-fpSzufpgOSgpzzysoGvIOGblHq8GJiEF-AYN3eEZRXn6KaeYOJeatSlRTriNpegERy8ldwi7arqXu3mQm3yu,FCM,"정치,북한,산업,사회",15:30-01:00
39,성성서,JjvLvO9oae7:APA91b7_qB0oQY5_BsnY5oC-yqAN2RfRRsUhLBx6PmhXZ0pEkYZmWWOo7hxoRZc1XswaFmfaewfLKfN57guCdhQWrDpjN8l912elHpExxL_nW4d9QMwsV0epLXJ-x_CBaU-KdSGZtQBG,FCM,"정치,경제,산업,사회",21:30-03:30
40,원가찬,8d7c583c3969f5191a96a7719953ac920f9438492b119a9c9072d9e20c713bcc,APNs,"정치,경제,산업,사회",16:00-15:30
41,전진영,QEJPWGS15CH:APA91bG_AE8tedaJ9Znr4N-x6qDFmHqowWJTzyuDquqj_6RgROl6k5ruSj5fyZZnt4uyYhbxFQwxU4IMDCLFqdKsocQckqpXnA-jcxNs9HWY0eN2uu4-MygCrjCTxhkCeVjW10Sxi6P5,FCM,"정치,경제,사회",-
42,노지정,9ZqWgeYi1iR:APA91bXab5EnfRZIp6dl8FlQRhvJ_LwpcQ09YizeZfe-0d-mp05s1JrtfZSyzmCtE2xQerkHQCxb_ySdOZBMsWtSFoRIUUewefUoaUCoXlSysaK05QAV-G9TfML_ztqPmd0MzJhYNXfu,FCM,경제,-
43,성도진,b7c6d37ae22eb641b26fda9d2bef30bc10107eaaf3102da532c5364e729684c3,APNs,경제,-
44,신승경,24KwfCSy7eX:APA91bO8kVsLzNoHJ41Z42Li847ToMwbZqykqZKZBJ4j9sNYB32tR0TeTpN7ohAB4m90Br80W5VyS-jUzPA7d5vi7ExcWR3HuVRisQGXO2ouG39g3NT1XP7C8aFXuQ7PX72fuBo0ja_6,FCM,"정치,북한,산업,사회",12:00-18:00
45,안도윤,977ae5d3f208c35fe37ed352a61f7038dd287a275c9d877d01b8a7fb85a39e15,APNs,"북한,경제,산업,사회",-
46,주승환,M9aD9JmikrI:APA91b0tqYY5Qp1vGrQEhmqlXHGO7ueIHTnqpbqcwOOe-wuKlij0wTo5RQ1-RXczl_USHH7XTNnpBW0FbTdIWqikU2Saw0WMXfhxu50tPSVN9wg3oDsHkWo5WUkZYGxYm2C-4r2oZEWB,FCM,"정치,북한,경제,산업,사회",23:00-02:00
47,양광철,a2978bbadc3514df49319cbb19eb06534eff33bed97720155097ad002238e50a,APNs,"정치,북한,경제,산업,사회",-
48,신시석,Zp6jR8bV6me:APA91bSRidmWubemY_bINPyThs9KdR4l8PuGnEpQBL5M9ujAQgbaLlfBsSV-goyuMlzPYahVECBzJEncm7SfzRfECICMG9Iw-4e_tTGynJ7PeYeRXuYs-sxhK7u4ewY58h8feQjKb0Ei,FCM,"정치,북한,사회",07:30-16:00
49,황가기,6bf742ca9d7fa1c273c42caac5b480ba89071586545f5435ae90ad6694689834,APNs,"경제,사회",05:30-02:30
50,윤승범,uh764tdChVS:APA91bX6-NbCXWQm3PaCZfRheeO6so4QbojF5L1sSXhVqswWhJ5MQQYa3ShjGF-qh3CdlNPgZlGWIllGCZ55szaRacmH-KhXo_A6hKEpH975vogIkcfoK78RmEHt7X3PNyhONh0Oged9,FCM,"북한,경제",14:30-10:30
51,노현람,sqXO57akjy1:APA91bQjbwBolGL1bd4MTt6rhvlQ7U_3cbvS4Mc47ocSM-Hg_pA7YKu4-UWtNUD4cDch19y1jPTUQ3zi-krPYzMn1FMooOFXOsQnDpfFiwRGSt5BBTqDtbBPsSAMzVoa_YgSSdhJhrbL,FCM,"정치,경제,산업,사회",02:30-08:00
52,홍태아,BVWS6hX2xL7:APA91bRgKpl9925AueIXVBm7X8m9u1dAInu-pUpMH7wXX4EtJ7c6AC79939AK1SDzuqhJ-YjTx5aZTmNgt1Us0jeVcxLPdt-K7MjYCI0hVzS7QCZujxwZfVGTlzniFbv2X3PpYpJEvHC,FCM,"정치,북한,경제,산업,사회",00:30-15:00
53,노가경,2ROEpdkegkE:APA91bsglAbvXO_Gi8F3YSoBj4sGL5D7VttxyuqJnpUx8Sxm0QyjVr8I2EuB88OyIeLF_hB_qwZGsvI8-QhKRFOyNH1-hvKXPMDGOEWIjF0e12Q6w9UOjHjGMVMrgDHjx3OzvbwTUu_P,FCM,"정치,경제,산업,사회",01:30-18:30
54,원승영,fC8d4KMjVF0:APA91bi9UN9q5RMF53QuVPYJawV4L1HnlVwTziogKGxBFeuzvvKW3B2oudRyBkVJz6vIifDP-Eet9LQJeUJG8PdHbRVZd7NPCmrmDUbVV70jw6Q07y54p7Z1SvaZTbHZSVhhvqsJp_If,FCM,"정치,경제,사회",-
55,윤다슬,739418ea53da067564debdc4cc2770cdeeba7bb8e090a57fbf2c2b888a5159a4,APNs,"북한,경제,산업,사회",06:30-21:00
56,백나진,997b17bdb2df5c4defd601a519f8be4131f9ba8449a186d597c84797ef43bbd0,APNs,"정치,북한,경제",-
57,손서현,8iZIUlmK2X5:APA91bXuv2UDBYwiAiXav-f6-ISEq1mIbMOTHaUhdsz9Mz1bcCzXuJ8DZdMeJ4aJKaMF8DTqslXaBoIdOOWntSuTAbGLgU3iAKYRuKs9ULWhSPHQh1bKfPB6SnFRV0UEscaDbAC5Y7Ju,FCM,"북한,사회",00:00-19:30
58,하진원,PZEopQ7MsxW:APA91bET0wvAPg2YI9JPIqYb5Xal0STjpMdU0hhLtKud2skUWr-paN5CpNtLq8N94N-x-PDx-ku7Iw2U4-zZgeMyB5HbjEc9lL1fjiMP0KOAFuu68u9KB7dW5H6h1IY-ZpJgJpsU5XaN,FCM,"정치,경제,산업",16:30-20:30
59,박성훈,e74bf4733fad9367a545a98a195b65030834aca1e9b4db1278f5728436b22b19,APNs,북한,03:30-04:30
60,이민진,aqQXTyVLrdm:APA91bLtK3NeWv0n9crE5U1rFxp70c1U9_J-SowpNdm_O0zx4uVa0hDf8ni6MN9Qui4LCP8sMzEJNJkO2dEqHw0SI3aWqy8afSKOPl8lfNJg07uc0fSwt3--Q8FqYD5BTHNgjHGp9O9K,FCM,"정치,경제,산업",19:30-06:00
61,류현철,CysmIt4m5Yi:APA91bNrjByWPJOHW_YU8RHiq88avPZ5H6_tkxLc2fBQ0la0u3-edqkhwSTKhgTkhYsCpCPSARYTwploD9AQFAvqlSnwPOGE5WgDXWHv7ALd-DtLVqaCPRd_p4N63XuV5cPOpuHdWXul,FCM,"정치,경제,산업,사회",-
62,류라슬,AOaUiArDU6y:APA91bJtQ_AdgSduThI5w98Q6vYPzjtu6PhIz0lDV2zTFhdtYZVOr9LFv8FBeOKHqW1LeqY5vdPJcDO1KQZMVoZjZ0WgEisr2TsXiRv6tDj-GUGVTbUd-P9fjjcyJvnxv9TzLSI7ySBG,FCM,산업,20:30-08:30
63,남우람,reFlKM6gpDG:APA91boMhvWVdHalQbEsBYe4q_0DSLoD3qV4YGEMo4gG4mJJaVsnaEStdXq9T3tTJA8TTEkYEkkDlzXRQEHTZj-z0ZDw8HFTbh1LzgGx7kDznA-FfyK0zU74i8FPM605XCuCbOtpEeLR,FCM,정치,05:00-00:30
64,성서원,v3EnibJKoY9:APA91bE7-77GA-KcwV99GGmyIHRFRAuYGYPxOStCYpzwZqmSnOCsdhfmNsjhGQdGo68SkOR9qRO8YbKk2fn5ERBRSXDI3lsUyU9RiMRB98Rsr32MRgFOpTsjE2xhk-cW9k_--HOW1ypH,FCM,"정치,북한,경제,사회",00:00-13:00
65,문태슬,IsMfEU0J0Jy:APA91bDYnMYJwJ1Cl12zUjuL9OKGFkwzHSs0l82mAJSQ1lnc4TxEWM4VFvDtx-4mE4lH_At1tTrCgR4dmrzsFWxaCxgjr5suWiHHxnzfYFO-VzWEeAbxkDIHmI7vOcDzf11jR3wNcxki,FCM,"정치,북한,경제,산업,사회",04:00-15:00
66,우태람,i5HrmonZ6yg:APA91bow91Q1z-qI5c1aprc3hUNzoLbCurqUISYkrpKgHpbclZ701IsnKeMkauEyRgmFcAIlb552LNnCgVvsU5UQxnGJY7vWfqRvRJtL_oK9RY9wpVTnsNxAjU8QMJ6wI9fhbntD7pkR,FCM,"정치,북한,경제,산업,사회",03:00-15:30
67,신하영,G1LFCCRrUIK:APA91bOh7RXu-nxGK4ZdEYe2S1sJ5gYv8jhtIwB-oKoNTle_8iW85nRd_6qeN6DYZxtaWevj_hvd8usu9X6Nb3H13mYKJEojyBBuGvBQ_jTXCHEbNuvbWmA4FBxHFrYTugKvM2zaavgb,FCM,"북한,사회",-
68,구재희,aIUbtC3Yiwr:APA91bWyDzaTJ0r9ZJbAhuQOp2JDzHbqHadJz3rcuOlfmIqWkQcr9n03vZj7MroUPQfWgN9v3_vxH52dHMuKUd3wmWSIQPr8FiO5c4n-yNtU6-P3fnxhdNEvvqIuQ-1kmwt8USC4bwgp,FCM,"정치,북한,경제",02:00-23:00
